FromName,ToName,ParentName,Include,Description,DataType,DataLength,TableName,SortOrder,TableIncluded,,
Code,MorseCode,,TRUE,,,,Code,33,TRUE,,
Code.CodeId,MorseCodeId,,TRUE,,GUID,,Code,34,TRUE,,
Code.Name,Name,,TRUE,,TEXT,50,Code,35,TRUE,,
Code.Description,Description,,TRUE,,TEXT,500,Code,36,TRUE,,
Method,DeliveryMethod,MorseCode,TRUE,,,,Method,37,TRUE,,
Method.MethodId,DeliveryMethodId,,TRUE,,GUID,,Method,38,TRUE,,
Method.Name,Name,,TRUE,,TEXT,50,Method,39,TRUE,,
Method.Description,Description,,TRUE,,TEXT,500,Method,40,TRUE,,
Listener,Listener,Communication,TRUE,,,,Listener,53,TRUE,,
Listener.ListenerId,ListenerId,,TRUE,,GUID,,Listener,54,TRUE,,
Listener.Name,Name,,TRUE,,TEXT,50,Listener,55,TRUE,,
Listener.Description,Description,,TRUE,,TEXT,500,Listener,56,TRUE,,
Observer,Observer,Communication,TRUE,,,,Observer,57,TRUE,,
Observer.ObserverId,ObserverId,,TRUE,,GUID,,Observer,58,TRUE,,
Observer.Name,Name,,TRUE,,TEXT,50,Observer,59,TRUE,,
Observer.Description,Description,,TRUE,,TEXT,500,Observer,60,TRUE,,
Equipment,MCDevice,,TRUE,,,,Equipment,61,TRUE,,
Equipment.EquipmentId,MCDeviceId,,TRUE,,GUID,,Equipment,62,TRUE,,
Equipment.Name,Name,,TRUE,,TEXT,50,Equipment,63,TRUE,,
Equipment.Description,Description,,TRUE,,TEXT,500,Equipment,64,TRUE,,
Telegraph,Telegraph,Communication,TRUE,,,,Telegraph,69,TRUE,,
Telegraph.TelegraphId,TelegraphId,,TRUE,,GUID,,Telegraph,70,TRUE,,
Telegraph.Name,Name,,TRUE,,TEXT,50,Telegraph,71,TRUE,,
Telegraph.Description,Description,,TRUE,,TEXT,500,Telegraph,72,TRUE,,
Alphabet,Alphabet,MorseCode,TRUE,,,,Alphabet,77,TRUE,,
Alphabet.AlphabetId,AlphabetId,,TRUE,,GUID,,Alphabet,78,TRUE,,
Alphabet.Name,Name,,TRUE,,TEXT,50,Alphabet,79,TRUE,,
Alphabet.Description,Description,,TRUE,,TEXT,500,Alphabet,80,TRUE,,
Punctuation,Punctuation,Character,TRUE,,,,Punctuation,85,TRUE,,
